"","titles","category","publish date","links"
"31","Unemployment filing system potentially exposed private data of some Coloradans","Local News","3:05 PM, May 18, 2020 ","https://www.thedenverchannel.com/news/local-news/colorados-unemployment-filing-system-potentially-exposed-private-data-of-some-people"
"32","AARP: Nursing homes behind on reporting COVID-19 data","Coronavirus","2:31 PM, Jun 23, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/aarp-covid-19-data-from-nursing-homes-not-coming-out-soon-enough"
"33","COVID-19 data sharing with law enforcement sparks concern","Coronavirus","11:20 AM, May 19, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/covid-19-data-sharing-with-law-enforcement-sparks-concern"
"34","Data prompts IHME to up coronavirus death projections","Coronavirus","4:55 PM, May 12, 2020 ","https://www.thedenverchannel.com/news/coronavirus/mobility-data-prompts-ihme-to-up-coronavirus-death-projections"
"35","14 states hit highest 7-day average of new infections, data shows","Coronavirus","11:47 AM, Jun 09, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/14-states-hit-highest-7-day-average-of-new-coronavirus-infections-data-shows"
"36","Average cost of hospital visit went up 36% over decade","Coronavirus","2:17 PM, May 28, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/average-cost-of-hospital-visit-went-up-36-over-decade-data-shows"
"37","Medicare: Blacks likelier to be hospitalized for COVID-19","Coronavirus","4:08 AM, Jun 23, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/medicare-data-blacks-likelier-to-be-hospitalized-for-covid"
"38","Hospital data: COVID-19 patients fared better in May than in March","Coronavirus","3:24 PM, Jun 24, 2020 ","https://www.thedenverchannel.com/news/coronavirus/colorados-covid-19-patients-fared-better-in-may-than-at-pandemics-start-hospital-data-shows"
"39","Google releasing location data to track response to lockdowns","Coronavirus","6:10 AM, Apr 03, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/google-releasing-location-data-to-track-response-to-coronavirus-lockdowns"
"40","Trump Jr. downplays COVID deaths as 'almost nothing'","Coronavirus","5:55 PM, Oct 30, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/trump-jr-downplays-covid-deaths-as-almost-nothing"
"41","How TV networks project winners on Election Night","Election 2020","9:34 AM, Nov 03, 2020 ","https://www.thedenverchannel.com/news/election-2020/how-tv-networks-project-winners-on-election-night"
"42","COVID-19 Patients of color more likely to be hospitalized","Coronavirus","12:30 PM, Nov 17, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/cdc-patients-of-color-4-times-more-likely-to-be-hospitalized-with-covid-19"
"43","Report details Coloradans ‘mobility patterns’ during COVID-19","Local News","12:13 PM, May 15, 2020 ","https://www.thedenverchannel.com/news/local-news/csu-report-uses-cell-phone-data-to-detail-coloradans-mobility-patterns-during-covid-19"
"44","Despite promising reports, vaccines still months away","Coronavirus","11:08 AM, Nov 16, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/experts-encouraged-by-reports-on-potential-vaccines-but-were-still-months-away-from-normalcy"
"45","Data privacy protection at forefront of proposed federal law","National","3:36 PM, Feb 24, 2020 ","https://www.thedenverchannel.com/news/national/data-privacy-protection-at-forefront-of-new-proposed-federal-law"
"46","Daily data now available for Colorado hospitals","Coronavirus","1:33 PM, Apr 16, 2020 ","https://www.thedenverchannel.com/news/local-news/daily-data-now-available-from-colorado-hospitals-including-discharge-rates"
"47","Data on COVID-19 outbreaks at residential health care facilities released","Coronavirus","5:50 PM, Apr 15, 2020 ","https://www.thedenverchannel.com/news/coronavirus/colorado-releases-data-on-covid-19-outbreaks-at-non-hospital-residential-health-care-facilities"
"48","As telehealth rises, how are companies keeping your health data safe?","Coronavirus","11:35 AM, May 11, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/as-more-people-turn-to-telehealth-how-are-companies-keeping-your-data-safe-from-hackers"
"49","Fla. data manager say she was ousted for not altering stats","Coronavirus","8:42 PM, May 19, 2020 ","https://www.thedenverchannel.com/news/coronavirus/fl-health-department-accused-of-ousting-data-manager-for-not-covering-up-coronavirus-numbers"
"50","US records more than 125,000 new COVID-19 cases Friday","Coronavirus","9:17 PM, Nov 06, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/us-records-more-than-125-000-new-covid-19-cases-friday-shattering-record-set-on-wednesday-and-thursday"
